,count,real,real_percent,score,score_percent,true
COUNT,3.0,3.0,100.0,0.3333333333333333,33.3,1.0
COLOR,3.0,3.0,100.0,1.0,100.0,3.0
ORGAN,10.0,8.0,80.0,0.5,50.0,5.0
PRES,113.0,103.0,91.2,0.7168141592920354,71.7,81.0
PLANE,23.0,21.0,91.3,0.5217391304347826,52.2,12.0
MODALITY,29.0,23.0,79.3,0.4827586206896552,48.3,14.0
POS,39.0,34.0,87.2,0.5897435897435898,59.0,23.0
ABN,34.0,32.0,94.1,0.6470588235294118,64.7,22.0
SIZE,30.0,29.0,96.7,0.8333333333333334,83.3,25.0
OTHER,20.0,9.0,45.0,0.15,15.0,3.0
ATTRIB,9.0,9.0,100.0,0.8888888888888888,88.9,8.0
