,count,real,real_percent,score,score_percent,true
COUNT,2.0,2.0,100.0,0.0,0.0,0.0
COLOR,3.0,3.0,100.0,1.0,100.0,3.0
ORGAN,2.0,2.0,100.0,1.0,100.0,2.0
PRES,83.0,83.0,100.0,0.8433734939759037,84.3,70.0
PLANE,12.0,11.0,91.7,0.4166666666666667,41.7,5.0
MODALITY,15.0,15.0,100.0,0.6666666666666666,66.7,10.0
POS,3.0,3.0,100.0,0.3333333333333333,33.3,1.0
ABN,25.0,23.0,92.0,0.72,72.0,18.0
SIZE,27.0,26.0,96.3,0.8518518518518519,85.2,23.0
OTHER,9.0,8.0,88.9,0.3333333333333333,33.3,3.0
ATTRIB,7.0,7.0,100.0,1.0,100.0,7.0
