,count,real,real_percent,score,score_percent,true
COUNT,1.0,1.0,100.0,1.0,100.0,1.0
COLOR,0.0,0.0,0.0,0.0,0.0,0.0
ORGAN,8.0,6.0,75.0,0.375,37.5,3.0
PRES,30.0,20.0,66.7,0.36666666666666664,36.7,11.0
PLANE,11.0,10.0,90.9,0.6363636363636364,63.6,7.0
MODALITY,14.0,8.0,57.1,0.2857142857142857,28.6,4.0
POS,36.0,31.0,86.1,0.6111111111111112,61.1,22.0
ABN,9.0,9.0,100.0,0.4444444444444444,44.4,4.0
SIZE,3.0,3.0,100.0,0.6666666666666666,66.7,2.0
OTHER,11.0,1.0,9.1,0.0,0.0,0.0
ATTRIB,2.0,2.0,100.0,0.5,50.0,1.0
