,count,real,real_percent,score,score_percent,true
COUNT,6.0,6.0,100.0,0.3333333333333333,33.3,2.0
COLOR,4.0,4.0,100.0,0.75,75.0,3.0
ORGAN,10.0,9.0,90.0,0.2,20.0,2.0
PRES,171.0,171.0,100.0,0.5146198830409356,51.5,88.0
PLANE,26.0,26.0,100.0,0.5769230769230769,57.7,15.0
MODALITY,33.0,33.0,100.0,0.24242424242424243,24.2,8.0
POS,61.0,61.0,100.0,0.11475409836065574,11.5,7.0
ABN,56.0,56.0,100.0,0.30357142857142855,30.4,17.0
SIZE,46.0,46.0,100.0,0.5869565217391305,58.7,27.0
OTHER,26.0,26.0,100.0,0.11538461538461539,11.5,3.0
ATTRIB,20.0,20.0,100.0,0.45,45.0,9.0
