,count,real,real_percent,score,score_percent,true
COUNT,4.0,4.0,100.0,0.5,50.0,2.0
COLOR,4.0,4.0,100.0,0.75,75.0,3.0
ORGAN,2.0,2.0,100.0,1.0,100.0,2.0
PRES,124.0,124.0,100.0,0.7096774193548387,71.0,88.0
PLANE,12.0,12.0,100.0,0.4166666666666667,41.7,5.0
MODALITY,17.0,17.0,100.0,0.47058823529411764,47.1,8.0
POS,8.0,8.0,100.0,0.25,25.0,2.0
ABN,38.0,38.0,100.0,0.4473684210526316,44.7,17.0
SIZE,41.0,41.0,100.0,0.6585365853658537,65.9,27.0
OTHER,11.0,11.0,100.0,0.2727272727272727,27.3,3.0
ATTRIB,16.0,16.0,100.0,0.5625,56.2,9.0
